Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2017-09-11,1088.553955078125,1101.193767800692,1086.5803919399823,1095.9826169413882,732764
2017-09-12,1103.6324462890625,1107.424409755971,1089.684331105495,1097.1794710245824,1396460
2017-09-13,1103.96533203125,1122.791973265156,1097.756303045386,1108.7551760471483,1278980
2017-09-14,1102.9671630859375,1107.6905238631762,1096.2924370214103,1100.7718500685266,1081510
2017-09-15,1111.4381103515625,1116.2944351662252,1102.102372422753,1108.311399873022,2944072
2017-09-18,1108.3338623046875,1117.1595101281384,1103.9875203922702,1110.9504811895056,726600
2017-09-19,1107.979248046875,1110.9728875642636,1104.9856085294862,1110.9728875642636,782754
2017-09-20,1105.894775390625,1114.9643724370521,1097.357359253229,1114.9643724370521,1334642
2017-09-21,1119.798095703125,1126.9385208262627,1099.8849002948175,1104.7856187841624,2438740
2017-09-22,1110.3519287109375,1120.6854412785287,1105.2072609111917,1117.5809265006883,2435396
2017-09-25,1113.5228271484375,1123.8342503212748,1105.5397898533377,1107.225119382122,1599558
2017-09-26,1097.51220703125,1120.4634360758414,1093.6759579509649,1113.1900464139992,1449230
2017-09-27,1106.5374755859375,1114.1656882311993,1097.1130582087026,1104.3199656148236,2010356
2017-09-28,1098.310791015625,1114.9643170889372,1087.4671859594566,1106.404704614222,4332866
2017-09-29,1080.348876953125,1101.6591736872738,1073.94029351197,1099.4416632732493,1985014
2017-10-03,1085.892578125,1088.4871084412875,1076.4016775180442,1082.1450074390375,1923006
2017-10-04,1083.1649169921875,1088.3538685487244,1075.4923110149375,1086.4025031302008,1300778
2017-10-05,1077.5321044921875,1083.6745399571828,1075.2258083226022,1082.5879821139065,1684686
2017-10-06,1085.0941162109375,1088.7974011917204,1076.845044043785,1077.7098512814177,1389188
2017-10-09,1088.3985595703125,1094.540998760573,1082.6108354426706,1082.6108354426706,1773616
2017-10-10,1090.6829833984375,1095.4284361447455,1087.1349651541811,1088.7980987061762,1222010
2017-10-11,1108.91064453125,1115.1639598827537,1089.5739074723324,1091.0152894604407,1527746
2017-10-12,1130.1322021484375,1133.1480385443654,1111.8599344934341,1114.5209474998005,5006356
2017-10-13,1134.74462890625,1157.0748968896712,1118.9559092696907,1130.13214164269,4066320
2017-10-16,1146.186767578125,1148.670422613446,1133.170046094945,1133.170046094945,1218590
2017-10-17,1150.688232421875,1159.7356306711827,1143.148697788497,1146.4527663106926,1443016
2017-10-18,1147.16259765625,1159.159243074892,1144.235440428123,1150.887972058519,1514144
2017-10-19,1145.9649658203125,1151.2427054676007,1140.2438323758506,1149.5573759308459,86822
2017-10-23,1147.7391357421875,1165.967116863166,1129.7994959760683,1146.0095207205861,1886088
2017-10-24,1143.525634765625,1162.3744717646346,1139.3789555919632,1161.9753632330492,1339020
2017-10-25,1138.41162109375,1162.4704445726657,1136.2325883256162,1146.6832598816445,1105106
2017-10-26,1129.050537109375,1142.525145471764,1119.73378804571,1127.3828768099077,3007552
2017-10-27,1149.26220703125,1153.197818992362,1125.2479060572477,1128.6721457781093,1409270
2017-10-30,1163.44873046875,1165.1386479319856,1148.1062559062868,1150.0185280733263,1137252
2017-10-31,1166.91748046875,1174.032830959413,1156.822598674448,1156.822598674448,1592634
2017-11-01,1157.5118408203125,1168.1848658265174,1146.8388158141079,1166.9174006783805,741882
2017-11-02,1167.8734130859375,1189.1527988576433,1159.2460951466574,1160.0243365071663,1468422
2017-11-03,1165.183349609375,1172.5654618193867,1157.4898539066758,1170.6531893449417,666886
2017-11-06,1185.3951416015625,1188.17457530166,1161.4697545967963,1165.1386070809253,1377000
2017-11-07,1205.1849365234375,1230.9558289299496,1185.6177195895798,1187.3743003045395,2696892
2017-11-08,1216.2802734375,1226.953299602948,1208.8313905928644,1210.943760354776,1402252
2017-11-09,1216.90283203125,1222.950923664208,1209.298365976175,1222.950923664208,1152432
2017-11-10,1204.606689453125,1212.2779272539801,1197.7582075407277,1210.5880096762753,1356566
2017-11-13,1226.930908203125,1235.1357744559532,1201.6269881991998,1201.6269881991998,1496996
2017-11-14,1207.2086181640625,1225.8641625405521,1204.051136851131,1225.8641625405521,1657252
2017-11-15,1203.072265625,1225.174299328692,1201.3156853493613,1203.383540465859,6670834
2017-11-16,1221.4610595703125,1228.732101864505,1194.9119294636798,1205.162503095479,1653482
2017-11-17,1203.9617919921875,1222.1059574022022,1202.3163889105813,1222.1059574022022,1325464
2017-11-20,1202.24951171875,1212.6779246190868,1198.6251738207684,1207.3859266014897,1014498
2017-11-21,1188.6856689453125,1201.1597861806877,1185.594961109853,1201.1597861806877,1527740
2017-11-22,1192.1099853515625,1205.0288127048398,1188.4411334919625,1188.7080025103958,1822624
2017-11-23,1192.376953125,1197.6022880244757,1186.9292635489512,1192.2657757867134,793470
2017-11-24,1195.4010009765625,1202.0048697418306,1188.7526178472374,1192.7104876699927,2287512
2017-11-27,1194.423095703125,1198.89233947683,1183.905650517949,1195.3791777328415,1856786
2017-11-28,1194.17822265625,1201.7826885660772,1187.3741468420415,1194.489497534728,911716
2017-11-29,1182.10400390625,1197.6021667222947,1178.479666473851,1190.709172446693,1447532
2017-11-30,1172.6988525390625,1186.017879225774,1166.4729200644524,1180.1032216605654,4299962
2017-12-01,1169.5635986328125,1186.4848149532015,1165.805825487188,1171.8094030740951,1031144
2017-12-04,1170.6304931640625,1182.2595971742442,1157.5559754512617,1166.0277087797133,1259104
2017-12-05,1172.0538330078125,1179.2358460957864,1168.7629184392624,1170.030383606141,1167914
2017-12-06,1171.05322265625,1176.2563006461062,1161.9589376226684,1172.2539162582746,1407518
2017-12-07,1163.9154052734375,1176.6785403577974,1162.9148093571646,1170.608301894384,1326300
