Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2017-10-17,1079.2425537109375,1087.728203355995,1072.1711451553874,1075.2700656527538,1443016
2017-10-18,1075.935546875,1087.187323454487,1073.1901361377004,1079.4296136733847,1514144
2017-10-19,1074.8123779296875,1079.7624244577985,1069.4464677794645,1078.1817364777799,86822
2017-10-23,1076.4761962890625,1093.572404976284,1059.6504258880732,1074.8539727876446,1886088
2017-10-24,1072.5245361328125,1090.2030555681454,1068.635322789436,1089.8287275428775,1339020
2017-10-25,1067.72802734375,1090.2930465840436,1065.6842899855512,1075.4860828680016,1105106
2017-10-26,1058.9482421875,1071.5862175221102,1050.209966335713,1057.3841262470319,3007552
2017-10-27,1077.905029296875,1081.5962808670472,1055.3817655572695,1058.5933957614589,1409270
2017-10-30,1091.21044921875,1092.795440070437,1076.8205855995018,1078.614125199294,1137252
2017-10-31,1094.464111328125,1101.1376729825647,1084.9960160969824,1084.9960160969824,1592634
2017-11-01,1085.6419677734375,1095.6523049995512,1075.6316305473235,1094.4635367217838,741882
2017-11-02,1095.36083984375,1115.3190010700298,1087.2691870004862,1087.9991078127048,1468422
2017-11-03,1092.8370361328125,1099.7607924932975,1085.621230101893,1097.967253146935,666886
2017-11-06,1111.794189453125,1114.4010486592153,1089.3543250410123,1092.7953791930513,1377000
2017-11-07,1130.355224609375,1154.5260070276968,1112.0029325901487,1113.650447530329,2696892
2017-11-08,1140.761962890625,1150.772305526594,1133.7755779259385,1135.7567915726406,1402252
2017-11-09,1141.3455810546875,1147.0181479001176,1134.2132747605583,1147.0181479001176,1152432
2017-11-10,1129.81298828125,1137.007921016959,1123.3897267450316,1135.422929961262,1356566
2017-11-13,1150.75146484375,1158.4468956101953,1127.0186508636614,1127.0186508636614,1496996
2017-11-14,1132.2530517578125,1149.75027364197,1129.2916184159335,1149.75027364197,1657252
2017-11-15,1128.374267578125,1149.1039999516286,1126.7267522637094,1128.6662155604745,6670834
2017-11-16,1145.6209716796875,1152.4405575133344,1120.7202677303446,1130.3343868480406,1653482
2017-11-17,1129.208251953125,1146.2258528787231,1127.665011337105,1146.2258528787231,1325464
2017-11-20,1127.6021728515625,1137.3830884861231,1124.2028690888437,1132.4196691582688,1014498
2017-11-21,1114.881103515625,1126.580712547757,1111.9822953174084,1126.580712547757,1527740
2017-11-22,1118.0927734375,1130.2094805219779,1114.6517178290096,1114.9020171509103,1822624
2017-11-23,1118.3428955078125,1123.243792112835,1113.2334501110868,1118.2386211119608,793470
2017-11-24,1121.1793212890625,1127.37316008799,1114.9437319943265,1118.655860224102,2287512
2017-11-27,1120.261474609375,1124.4532234447174,1110.3970566366693,1121.1581935930506,1856786
2017-11-28,1120.0322265625,1127.1645345574134,1113.6506127972307,1120.3241745218584,911716
2017-11-29,1108.7078857421875,1123.2437770612967,1105.308581215164,1116.7787646051327,1447532
2017-11-30,1099.885986328125,1112.3780347108163,1094.0466219714342,1106.8306182058734,4299962
2017-12-01,1096.945556640625,1112.8161369812783,1093.421103109603,1099.0519193949283,1031144
2017-12-04,1097.94677734375,1108.8538375527007,1085.6840482657697,1093.6297769656503,1259104
2017-12-05,1099.2816162109375,1106.0177018178035,1096.1950328272683,1097.3838017369367,1167914
2017-12-06,1098.3431396484375,1103.2231612432304,1089.8135140230668,1099.4692828117788,1407518
2017-12-07,1091.6488037109375,1103.6194856722861,1090.7103340162773,1097.9261435902054,1326300
2017-12-08,1085.079345703125,1103.2230902882052,1083.2024066081167,1091.9614557181553,1385548
2017-12-11,1109.938720703125,1114.756117632502,1087.9368172164216,1087.9368172164216,1008002
2017-12-12,1089.5211181640625,1110.3134678260376,1087.5399051767697,1109.8963703550285,1882246
2017-12-13,1096.2989501953125,1105.9130672517356,1084.8705202413614,1089.2082932002709,2961458
2017-12-14,1066.8521728515625,1097.8007918296028,1055.7156882245504,1097.8007918296028,5504150
